varName,mean,sd,min,q1,q2,q3,max
aqs,9.08,2.17,0,7.81,9.1,10.36,22.3
Global LUR,6.77,1.93,1.02,5.21,6.41,8.13,37.23
"NA LUR",6.57,2.06,1.81,4.9,6.51,8.09,19.12
CMAQ-AQS Fusion,7.46,1.95,2.64,5.85,7.2,9.05,17.05
Bayesian Hierarchial,7.26,1.49,3.44,5.96,7.03,8.46,18.67
ML Ensemble,6.32,2.85,0.15,3.79,6.19,8.66,24.37
MERRA,12.11,4.3,3.57,8.49,11.91,15.4,33.24
CMAQ-AOD Fusion,6.09,2.75,1.34,3.68,5.45,8.35,29.46
BNE Predicted Concentration,6.75,2.09,1.37,5,6.6,8.38,17.67
BNE Predictive Uncertainty,0.9,0.38,0.33,0.67,0.81,1.01,6.57
BNE Scaled Uncertainty,0.15,0.08,0.03,0.09,0.13,0.19,0.99
